02:32:39 | CRITICAL: if this happened, everything broke lol. 
02:37:40 | CRITICAL: if this happened, everything broke lol. 
02:37:48 | CRITICAL: if this happened, everything broke lol. 
02:41:18 | functions.php | CRITICAL: if this happened, everything broke lol. 
02:42:22 | Homepage | CRITICAL: if this happened, everything broke lol. 
02:59:38 | Homepage | LOG: if this happened, everything broke lol. 
03:08:49 | Homepage | LOG: if this happened, everything broke lol. 
03:08:56 | Homepage | LOG: if this happened, everything broke lol. 
03:09:28 | Homepage | LOG: if this happened, everything broke lol. 
03:09:50 | Homepage | LOG: Ahh shit here we go again 
03:10:22 | Homepage | LOG: Ahh shit here we go again 
03:12:29 | Homepage | LOG: Ahh shit here we go again 
03:55:46 | Homepage | LOG: Ahh shit here we go again 
03:55:46 | Homepage | LOG: Ahh shit here we go again 
03:55:47 | Homepage | LOG: Ahh shit here we go again 
03:57:08 | Homepage | LOG: Ahh shit here we go again 
04:01:52 | Homepage | LOG: Ahh shit here we go again 
04:02:25 | Homepage | CRITICAL: Ahh shit here we go again 
04:02:58 | Homepage | ERROR: Ahh shit here we go again 
04:03:00 | Homepage | ERROR: Ahh shit here we go again 
04:25:22 | Homepage | ERROR: Ahh shit here we go again 
04:25:55 | Homepage | ERROR: Why did this happen to meeee! I've made my mistakaaaakes! Got nowhere to run! The night goes on! as im, fading away! 
04:26:02 | Homepage | ERROR: Why did this happen to meeee! I've made my mistakaaaakes! Got nowhere to run! The night goes on! as im, fading away! 
04:26:03 | Homepage | ERROR: Why did this happen to meeee! I've made my mistakaaaakes! Got nowhere to run! The night goes on! as im, fading away! 
04:29:47 | Homepage | ERROR: Why did this happen to meeee! I've made my mistakaaaakes! Got nowhere to run! The night goes on! as im, fading away!
04:30:18 | Homepage | CRITICAL: Somebody is singing songs in our error log >:(
04:31:11 | Homepage | LOG: Anybody care for a song?! 
04:34:24 | Homepage | CRITICAL: WHO\'S DONE IT
04:34:45 | Homepage | ERROR: STEFAN DID IT AGAIN DIDN'T HE
